date,ticker,open,high,low,close,volume,daily_return,log_return,year,month,quarter,day_of_week
2022-01-04,AAPL,179.25,177.87,173.3,175.52,131801448,-0.01708013664109298,-0.017227684682113064,2022,1,1,Tuesday
2022-01-05,AAPL,174.48,178.64,177.12,177.86,87929868,0.013331814038286316,0.013243727444573966,2022,1,1,Wednesday
2022-01-06,AAPL,177.03,182.91,177.53,180.81,94716101,0.016586078938490845,0.016450032191568327,2022,1,1,Thursday
2022-01-07,AAPL,180.95,178.37,171.52,174.98,80421994,-0.032243791825673385,-0.032775074484943975,2022,1,1,Friday
2022-01-10,AAPL,175.85,172.77,169.73,171.23,58797956,-0.021431020688078672,-0.021663999677238737,2022,1,1,Monday
2022-01-11,AAPL,172.31,174.46,170.17,171.68,69060651,0.0026280441511419284,0.002624596881508748,2022,1,1,Tuesday
2022-01-12,AAPL,171.09,171.77,170.03,170.83,55615042,-0.0049510717614165145,-0.00496336892342202,2022,1,1,Wednesday
2022-01-13,AAPL,171.65,171.82,170.33,170.86,54511606,0.0001756131826962104,0.00017559776450630724,2022,1,1,Thursday
2022-01-14,AAPL,170.18,170.97,166.06,168.48,90247086,-0.013929532950954115,-0.014027459337807338,2022,1,1,Friday
2022-01-17,AAPL,170.05,172.17,169.19,171.09,57115369,0.015491452991453158,0.01537268545089197,2022,1,1,Monday
2022-01-18,AAPL,170.1,175.26,172.05,173.45,88048943,0.01379390963820204,0.013699639579201466,2022,1,1,Tuesday
2022-01-19,AAPL,174.62,177.28,170.62,173.72,54134939,0.0015566445661574502,0.001555434250862465,2022,1,1,Wednesday
2022-01-20,AAPL,173.14,177.81,176.64,177.16,87439011,0.01980198019801982,0.019608471388376337,2022,1,1,Thursday
2022-01-21,AAPL,178.98,180.66,176.39,178.66,69090819,0.008466922555881773,0.008431279218695662,2022,1,1,Friday
2022-01-24,AAPL,179.2,177.35,174.62,176.15,121998810,-0.014049031680286483,-0.014148653486446285,2022,1,1,Monday
2022-01-25,AAPL,175.23,179.53,174.91,177.33,88159026,0.0066988362191313655,0.006676498717141113,2022,1,1,Tuesday
2022-01-26,AAPL,176.86,176.14,173.75,174.54,115903911,-0.01573337844696343,-0.015858461769222693,2022,1,1,Wednesday
2022-01-27,AAPL,175.24,179.85,174.95,177.25,63773173,0.015526526870631496,0.015407223677071735,2022,1,1,Thursday
2022-01-28,AAPL,178.2,178.99,174.39,177.18,81358851,-0.00039492242595196014,-0.0003950004283504937,2022,1,1,Friday
2022-01-31,AAPL,177.12,178.79,175.38,176.7,59602676,-0.0027091093802913413,-0.002712785658235701,2022,1,1,Monday
2022-02-01,AAPL,176.75,176.49,173.06,174.75,70664622,-0.011035653650254607,-0.011096998211731013,2022,2,1,Tuesday
2022-02-02,AAPL,175.43,179.96,176.81,178.5,73950456,0.02145922746781115,0.021232220105774118,2022,2,1,Wednesday
2022-02-03,AAPL,178.62,180.27,175.98,178.11,64345639,-0.0021848739495797798,-0.0021872642689999733,2022,2,1,Thursday
2022-02-04,AAPL,176.94,180.34,174.25,176.9,55555125,-0.006793554544944125,-0.006816735784954139,2022,2,1,Friday
2022-02-07,AAPL,176.17,177.79,172.28,175.92,52351020,-0.005539853024307595,-0.005555254919233925,2022,2,1,Monday
2022-02-08,AAPL,176.13,178.91,175.55,177.6,39650446,0.009549795361528002,0.00950448431156398,2022,2,1,Tuesday
2022-02-09,AAPL,178.7,180.75,176.25,178.79,58272057,0.006700450450450424,0.006678102205659011,2022,2,1,Wednesday
2022-02-10,AAPL,180.26,181.12,179.14,180.13,96570644,0.007494826332568927,0.007466879671738307,2022,2,1,Thursday
2022-02-11,AAPL,180.85,183.29,179.45,181.54,49524974,0.007827680008882565,0.0077972026630142325,2022,2,1,Friday
2022-02-14,AAPL,181.8,190.24,186.21,188.36,53068831,0.03756747824170992,0.036879010276872744,2022,2,1,Monday
2022-02-15,AAPL,189.08,189.26,185.66,187.14,136906225,-0.00647695901465295,-0.0064980255275870966,2022,2,1,Tuesday
2022-02-16,AAPL,186.51,186.51,184.73,185.6,66093989,-0.008229133269210154,-0.00826317949566663,2022,2,1,Wednesday
2022-02-17,AAPL,185.46,185.28,179.29,183.14,88088363,-0.013254310344827602,-0.013342932672514133,2022,2,1,Thursday
2022-02-18,AAPL,182.37,186.45,183.18,185.15,97001047,0.010975210221688458,0.010915419680035742,2022,2,1,Friday
2022-02-21,AAPL,183.97,191.09,185.45,188.82,97590921,0.019821766135565744,0.019627872944748794,2022,2,1,Monday
2022-02-22,AAPL,189.14,189.68,187.46,188.54,50669916,-0.0014828937612541004,-0.0014839943363662204,2022,2,1,Tuesday
2022-02-23,AAPL,188.72,189.91,182.79,185.95,74642401,-0.013737138007849814,-0.013832365596925246,2022,2,1,Wednesday
2022-02-24,AAPL,186.6,184.78,182.26,183.44,49232720,-0.013498252218338225,-0.01359018182143001,2022,2,1,Thursday
2022-02-25,AAPL,183.95,187.02,184.7,185.57,166654364,0.011611426079372045,0.011544530806598518,2022,2,1,Friday
2022-02-28,AAPL,185.8,191.98,185.76,188.01,49578836,0.013148677049092061,0.013062983548446398,2022,2,1,Monday
2022-03-01,AAPL,188.55,192.65,186.76,189.84,58420950,0.009733524812510108,0.009686459222814458,2022,3,1,Tuesday
2022-03-02,AAPL,189.8,189.0,186.94,187.79,58547967,-0.010798567214496457,-0.010857294907393199,2022,3,1,Wednesday
2022-03-03,AAPL,188.19,191.21,186.02,188.62,51061382,0.004419830661909652,0.004410091895623862,2022,3,1,Thursday
2022-03-04,AAPL,187.92,191.13,187.28,189.08,120037573,0.0024387657724525003,0.002435796809296806,2022,3,1,Friday
2022-03-07,AAPL,189.44,193.34,187.64,189.87,165465217,0.004178125661095766,0.004169421530288001,2022,3,1,Monday
2022-03-08,AAPL,190.52,194.9,190.67,192.79,69359415,0.015378943487649455,0.015261886156053794,2022,3,1,Tuesday
2022-03-09,AAPL,192.13,195.04,192.19,193.61,53833701,0.004253332641734664,0.004244312789696576,2022,3,1,Wednesday
2022-03-10,AAPL,193.66,198.57,192.4,195.95,40892594,0.012086152574763531,0.012013698244566395,2022,3,1,Thursday
2022-03-11,AAPL,195.33,198.29,193.12,196.26,74350769,0.0015820362337330973,0.0015807861327070787,2022,3,1,Friday
